"","logFC","logCPM","PValue","FDR"
"XLOC_030948",-0.776616103897423,4.86804655965004,2.85012390459762e-07,2.87790813134056e-05
"XLOC_031446",-0.594325756552047,6.55102867360538,2.89861047994896e-07,2.89373127904483e-05
"XLOC_030762",-0.911482666735355,4.3397938167752,2.90184201760335e-07,2.89373127904483e-05
"XLOC_031177",-1.71446269964105,0.751917908053184,3.17385613609833e-07,3.14544816450979e-05
"XLOC_031013",-0.826952606789649,4.62451423793349,3.25936386475491e-07,3.21037342629694e-05
"XLOC_030812",-0.784022634261083,4.80614168159719,3.41473166411894e-07,3.34289736996522e-05
"XLOC_030778",-0.674249312860786,5.72712699960694,3.56110910282676e-07,3.44602400356089e-05
"XLOC_031257",-0.640604266516842,6.29370612255224,3.58398787198983e-07,3.44602400356089e-05
"XLOC_030725",3.94881426306315,4.96890972398269,3.58446595200666e-07,3.44602400356089e-05
"XLOC_031184",-0.702383014754444,5.46389315740902,3.71848688177761e-07,3.55358969565116e-05
"XLOC_021866",-1.23641589105854,3.01970458335804,3.96943909799224e-07,3.77096714309263e-05
"XLOC_031144",-0.768535112761997,4.7939106345739,4.2010923821959e-07,3.96756107036207e-05
"XLOC_031504",-0.70730012438778,5.35688091522151,4.49819968286421e-07,4.22330970224473e-05
"XLOC_031484",-0.956613255293916,5.9661376002605,4.57545914676219e-07,4.2708718954225e-05
"XLOC_031354",-0.725141855235777,5.28707077799697,4.66909766776957e-07,4.33308456971332e-05
"XLOC_030927",-0.571528735040269,7.49861020129356,4.83113795422024e-07,4.45769654339115e-05
"XLOC_031331",-1.03735981562273,3.26269503953336,4.89015922904668e-07,4.48637179556254e-05
"XLOC_030979",-0.561215054052859,8.18986234205719,5.2654072493053e-07,4.8031882606589e-05
"XLOC_030946",-0.713235376852398,5.3992720792167,5.51563452684728e-07,4.99832466109144e-05
"XLOC_031236",-0.803772796618747,4.75273668985054,5.54158698021972e-07,4.99832466109144e-05
"XLOC_010202",-0.740528696980336,5.00484832551186,5.67657908094011e-07,5.09147917008344e-05
"XLOC_031222",-1.25737027043088,2.42018078642265,5.94437293600478e-07,5.29861963260165e-05
"XLOC_031022",-0.726353352751845,5.4883669174388,5.97352945188975e-07,5.29861963260165e-05
"XLOC_030885",-0.953191600599243,3.70543103023087,6.02474842192927e-07,5.3146887864876e-05
"XLOC_031495",-0.737498206586505,4.93476447479304,6.14797451806932e-07,5.39375578620781e-05
"XLOC_031309",-0.539608314889721,8.64441065414388,6.1831295310902e-07,5.39511655552462e-05
"XLOC_030826",-1.39669673472238,2.4621734239266,6.21885396351288e-07,5.39695677752429e-05
"XLOC_031368",-0.993155323649122,3.83797391204039,6.55234690575545e-07,5.65580266515612e-05
"XLOC_031591",-0.869513665472212,5.93935380252574,7.31200994647675e-07,6.27777110645371e-05
"XLOC_031548",-0.990342860649168,4.22298567051779,8.0211576235738e-07,6.84998327906795e-05
"XLOC_001820",-2.03022742157458,-0.420067656441955,8.90898607024991e-07,7.56792441046891e-05
"XLOC_030977",-0.710714391576302,5.35046741118621,9.56292691253714e-07,8.08067324109388e-05
"XLOC_002089",2.61002856828587,-0.454182381893336,9.9708150448878e-07,8.38122699192009e-05
"XLOC_031181",-0.700549637779877,5.8661183914082,1.00719536004402e-06,8.42214661745146e-05
"XLOC_030913",-0.776910962909889,4.55693292402202,1.03106401668771e-06,8.57706362068458e-05
"XLOC_024621",1.79595608738531,2.6061896775063,1.04544010623568e-06,8.65182520907929e-05
"XLOC_031087",-0.55553424572682,6.51338496800844,1.07399759393953e-06,8.84258019010211e-05
"XLOC_030870",-0.698371200375579,5.06715078618747,1.16243894729663e-06,9.52191698920789e-05
"XLOC_031168",-1.11886334225421,3.09009519439815,1.18752985152842e-06,9.67806688644099e-05
"XLOC_031386",-0.669483648915021,5.34294041660331,1.19585560417945e-06,9.69669784096012e-05
"XLOC_031601",-0.872545338057274,4.01451955003295,1.3830559277733e-06,0.000111120727011335
"XLOC_031541",-0.616477528527721,5.78035010186822,1.3879158274635e-06,0.000111120727011335
"XLOC_031621",-1.01914438651334,3.42751977874729,1.39117197940071e-06,0.000111120727011335
"XLOC_031255",-0.607389292698632,8.67032507286892,1.47778666949758e-06,0.000117454777122691
"XLOC_031154",-1.32105680624327,1.52839878224595,1.49377805149676e-06,0.000118140919294486
"XLOC_031114",-0.930569726712637,3.69602238832272,1.51416152673563e-06,0.000119165996626179
"XLOC_031207",-0.886405591296035,4.09752319021047,1.59335398998808e-06,0.000124786821020774
"XLOC_022249",1.4944742368423,2.19542709277866,1.66602499345321e-06,0.000129844811989764
"XLOC_011926",-0.904017832846712,4.00377627808731,1.74759911990222e-06,0.000135544463140242
